Количество на 100г продукта:,"Жиры, г",Ккал
"Сметана «Домашняя» 10,0% жирности",10.0,130
Суп молочный  с макаронами,1.9,58
Суп молочный  с рисом,1.9,54
Суп молочный  с тыквой  и манной крупой,2.2,50
Суп молочный с белокочанной капустой,2.0,54
"Сыр домашний 4,0% жирности",4.0,113
Сыр домашний нежирный,0.6,86
Сыр плавленый «Золушка»,10.8,254
Сыр плавленый «Костромской»,19.2,269
Сыр плавленый «Медовый»,16.5,291
Сыр плавленый «Мятный»,19.1,335
Сыр плавленый «Российский»,23.0,300
Сыр плавленый «Сказка»,18.0,316
Сыр плавленый «Сластена»,11.4,269
Сыр плавленый копченый «Колбасный»,19.4,275
Сыр сычужный мягкий «Адыгейский»,19.8,264
Сыр сычужный мягкий «Рокфор»,27.5,335
Сыр сычужный мягкий «Русский камамбер»,28.8,324
Сыр сычужный полутвердый «Литовский»,14.7,250
Сыр сычужный полутвердый «Прибалтийский»,9.0,207
Сыр сычужный рассольный «Брынза» из коровьего молока,19.2,262
Сыр сычужный рассольный «Брынза» из овечьего молока,18.8,260
Сыр сычужный рассольный «Сулугуни»,22.0,286
Сыр сычужный твердый  «Голландский» (круглый),30.4,375
Сыр сычужный твердый «Бийский»,29.9,371
Сыр сычужный твердый «Голландский» (брусковый),26.6,350
Сыр сычужный твердый «Костромской»,26.1,343
Сыр сычужный твердый «Латвийский»,24.1,316
Сыр сычужный твердый «Пошехонский»,26.1,344
Сыр сычужный твердый «Российский»,29.5,364
Сыр сычужный твердый «Советский»,31.1,385
Сыр сычужный твердый «Сусанинский»,23.9,315
Сыр сычужный твердый «Угличский»,26.3,347
Сыр сычужный твердый «Чеддер»,30.8,380
Сыр сычужный твердый «Швейцарский»,31.6,391
Сыр сычужный твердый «Ярославский»,26.6,350
"Сырки глазированные с ванилином 10,9% жирности",10.9,270
"Сырки глазированные с ванилином 27,7% жирности",27.7,413
"Сырки и масса  творожная «Цитрон» сладкие,  8,0% жирности",8.0,181
"Сырки и масса творожная сладкая с ванилином 16,5% жирности",16.5,283
"Сырки творожные детские 23,0% жирности",23.0,319
Сырники из творога (творог нежирный),3.6,183
Сырники из творога и картофеля,7.7,180
Сырники с морковью,11.5,232
"Творог  «Столовый» 2,0% жирности",2.0,114
"Творог  мягкий диетический 4,0% жирности",4.0,136
"Творог  мягкий диетический, нежирный",0.6,110
"Творог  мягкий диетический, нежирный плодово-ягодный",0.5,138
Творог  нежирный,0.6,110
"Творог  полужирный 9,0% жирности",9.0,169
"Творог «Крестьянский» 5,0% жирности",5.0,145
"Творог жирный 18,0% жирности",18.0,236
"Творог мягкий диетический 11,0% жирности",11.0,178
"Творог мягкий диетический, плодово-ягодный, 4,0% жирности",4.0,164
Творожная масса с изюмом,21.6,343
Тильзитер,26.0,340
Фета,21.0,264
Чеддер,33.0,403
Эдам,28.0,357
«Армавирская» полукопченая колбаса,40.1,423
«Брауншвейгская» сырокопченая колбаса,42.2,491
«Говяжья» вареная колбаса,11.7,165
«Диетическая» вареная колбаса,13.5,170
«Докторская» вареная колбаса,22.2,257
«Дорожная» сырокопченая колбаса,47.7,498
«Зеленоградская» с мясом утки вареная колбаса,12.1,187
«Зернистая» сырокопченая колбаса,62.8,606
«Любительская» вареная колбаса,28.0,301
«Любительская» варено-копченая колбаса,39.0,420
«Молочная» вареная колбаса,22.8,252
«Молочные» сосиски,23.9,261
«Московская» варено-копченая колбаса,36.6,406
«Одесская» полукопченая колбаса,38.1,402
«Олимпийская» сырокопченая колбаса,39.1,436
«Отдельная» вареная колбаса,11.0,240
«Охотничьи» полукопченые колбаски,40.0,463
«Подмосковная» с куриным мясом вареная колбаса,11.6,180
«Русская» вареная колбаса,11.0,302
«Русские» сосиски,22.0,250
«Свиная» вареная колбаса,25.8,277
«Свиная» сырокопченая колбаса,57.0,566
«Сервелат» сырокопченая колбаса,40.5,461
«Столичные» сосиски,20.3,234
«Столовая» вареная колбаса,20.2,234
«Таллинская» полукопченая колбаса,33.8,373
«Телячья» вареная колбаса,28.3,308
«Чайная» вареная колбаса,18.4,216
Азу из говядины,4.0,103
Антрекот из говядины,11.2,220
Баранина  жареная по 1-396,19.4,264
Баранина  отварная по 1-392,17.4,244
Баранина  тушеная по 1-422,12.7,170
Баранина 1 кат.,16.3,209
Баранина 2 кат.,9.6,166
Баранина сырая,24.4,314
Бедро курицы без кожи сырое,10.8,207
Бедро курицы с кожей сырое,15.4,245
Белое мясо индейки сырое,2.0,115
Бефстроганов из говядины,11.3,193
Биточки  паровые из говядины,10.8,192
Биточки  паровые из мяса кур,7.2,176
Биточки  с рисом из говядины,5.5,144
Бифштекс  из говядины с яйцом,20.8,275
Бифштекс из говядины,11.2,216
Бифштекс из говядины рубленый,25.6,306
Бройлеры  (цыплята) 1 кат.,16.1,220
